ine.ccaa.name;defun.2019;defun.2020
Andalucía;70505;78461
Aragón;13620;16711
Asturias, Principado de;12893;14550
Balears, Illes;7995;8559
Canarias;15756;16486
Cantabria;6013;6467
Castilla y León;28719;36197
Castilla - La Mancha;19467;25835
Cataluña;64547;79784
Comunitat Valenciana;44016;48549
Extremadura;11261;13099
Galicia;31268;32845
Madrid, Comunidad de;47165;66648
Murcia, Región de;11568;12392
Navarra, Comunidad Foral de;5568;6662
País Vasco;21566;24252
Rioja, La;3147;3700
Ceuta;537;648
Melilla;491;602
